route_key,date,price,source
BOS-PUJ-2027-03-07-2027-03-12,2026-09-03,906,observed
BOS-PUJ-2027-03-07-2027-03-12,2026-09-04,910,observed
BOS-SJU-2027-01-04-2027-01-11,2026-09-03,639,observed
BOS-SJU-2027-01-04-2027-01-11,2026-09-04,698,observed
JFK-PUJ-2027-03-07-2027-03-12,2026-09-03,918,observed
JFK-PUJ-2027-03-07-2027-03-12,2026-09-04,976,observed
JFK-SJU-2027-01-04-2027-01-11,2026-09-03,677,observed
JFK-SJU-2027-01-04-2027-01-11,2026-09-04,677,observed
PVD-PUJ-2027-03-07-2027-03-12,2026-09-03,935,observed
PVD-PUJ-2027-03-07-2027-03-12,2026-09-04,1202,observed
PVD-SJU-2027-01-04-2027-01-11,2026-09-03,538,observed
PVD-SJU-2027-01-04-2027-01-11,2026-09-04,538,observed
